,Country,Location,Attendance_Numbers,Visitor_Demographics,Economic_Impact,Music_Genre,Economic_Impact_EUR
1, Belgium,400000,24000, EDM Fans,€150 million,EDM,150000000.0
3, Germany,90000,30000, Rock Fans,€80 million,Rock,80000000.0
5, UK,100000,25500, Rock and Indie Fans,£60 million,Rock/Indie,60000000.0
6, France,60000,45000, Jazz Enthusiasts,€20 million,Jazz,20000000.0
7, Spain,40000,26500, Pop and Indie Fans,€15 million,Pop/Indie,15000000.0
8, Serbia,200000,24000, Electronic and Rock Fans,€50 million,Electronic/Rock,50000000.0
9, Spain,200000,30000, Indie and Electronic Music Lovers,€70 million,Indie/Electronic,70000000.0
10, Germany,100000,26500, Alternative Music Fans,€40 million,Alternative,40000000.0
12, Spain,150000,23000, Pop and Rock Fans,€30 million,Pop/Rock,30000000.0
13, Belgium,200000,26500, Rock and Electronic Fans,€55 million,Rock/Electronic,55000000.0
14, Belgium,150000,29000, Rock Enthusiasts,€85 million,Rock,85000000.0
15, Spain,100000,30000, Electronic Music Fans,€35 million,Electronic,35000000.0
16, Germany,75000,31500, Metal Fans,€45 million,Metal,45000000.0
17, UK,80000,26500, Rock and Pop Fans,£40 million,Rock/Pop,40000000.0
18, Netherlands,90000,24000, EDM Fans,€25 million,EDM,25000000.0
19, UK,40000,26500, Indie and Alternative Music Fans,£15 million,Indie/Alternative,15000000.0
22, UK,25000,29000, Indie and Folk Music Fans,£10 million,Indie/Folk,10000000.0
23, Germany,40000,32500, Metal and Hardcore Fans,€30 million,Metal/Hardcore,30000000.0
24, UK,80000,24000, Electronic and Indie Music Fans,£25 million,Electronic/Indie,25000000.0
25, UK,60000,26500, EDM Fans,£30 million,EDM,30000000.0
27, UK,70000,26500, EDM Fans,£35 million,EDM,35000000.0
30, Spain,35000,29000, Indie and Electronic Fans,€18 million,Indie/Electronic,18000000.0
32, Spain,80000,26500, Rock and Alternative Fans,€45 million,Rock/Alternative,45000000.0
36, Greece,30000,26500, Rock and Electronic Fans,€12 million,Rock/Electronic,12000000.0
37, Finland,35000,26500, Pop and Rock Fans,€10 million,Pop/Rock,10000000.0
38, Germany,50000,26500, Electronic and Indie Fans,€25 million,Electronic/Indie,25000000.0
39, UK,30000,26500, Electronic and Dance Fans,£15 million,Electronic/Dance,15000000.0
42, France,75000,26500, Rock and Electronic Fans,€30 million,Rock/Electronic,30000000.0
43, Spain,35000,26500, Electronic and Rock Fans,€15 million,Electronic/Rock,15000000.0
47, Spain,50000,26500, Rock and Pop Fans,€22 million,Rock/Pop,22000000.0
48, UK,30000,29000, Rock and Alternative Fans,£15 million,Rock/Alternative,15000000.0
49, UK,80000,26500, Rock and Alternative Fans,£35 million,Rock/Alternative,35000000.0
50, Germany,35000,29000, Electronic and Rock Fans,€18 million,Electronic/Rock,18000000.0
51, Hungary,20000,42500, Jazz Fans,€12 million,Jazz,12000000.0
53, Germany,25000,26500, Electronic and Alternative Fans,€12 million,Electronic/Alternative,12000000.0
54, Romania,50000,26500, Electronic and Rock Fans,€25 million,Electronic/Rock,25000000.0
55, UK,20000,26500, Emerging Artists and Indie Fans,£10 million,Indie,10000000.0
58, UK,60000,29000, Rock and Pop Fans,£30 million,Rock/Pop,30000000.0
59, Italy,25000,34000, Classical and Jazz Fans,€10 million,Classical/Jazz,10000000.0
60, Netherlands,60000,26500, LGBTQ+ and Pop Fans,€30 million,Pop,30000000.0
63, Montenegro,50000,26500, EDM and Techno Fans,€20 million,EDM/Techno,20000000.0
64, Spain,30000,26500, Pop and Indie Fans,€12 million,Pop/Indie,12000000.0
65, Germany,40000,31500, Stoner Rock and Metal Fans,€25 million,Stoner Rock/Metal,25000000.0
